deal_id,customer_id,deal_name,amount,deal_stage,start_date,end_date,plan_type,created_date,closed_date
d000025,cu09831,Monetize Impactful Action-Items,2786.08,In Progress,9/4/2018,7/24/2021,Enterprise,12/4/2018,9/9/2019
d000026,cu09133,Synergize Revolutionary Infrastructures,9913.04,In Progress,4/29/2018,11/30/2024,Enterprise,5/5/2020,9/21/2018
d000027,cu05258,Benchmark Synergistic Architectures,3849.97,In Progress,7/10/2019,3/1/2023,Free,12/2/2020,10/16/2018
d000028,cu04785,Integrate Bricks-And-Clicks Technologies,3526.71,Won,12/5/2018,1/11/2025,Free,8/15/2018,2/16/2025
d000029,cu06464,Seize Plug-And-Play Roi,3220.61,Won,2/1/2018,6/24/2021,Pro,12/9/2020,11/7/2021
d000030,cu07759,Cultivate Visionary Info-Mediaries,250.7,In Progress,7/17/2024,5/9/2020,Pro,10/12/2024,3/28/2024
d000031,cu02091,Transition Bricks-And-Clicks E-Business,6206.5,Lost,7/15/2018,4/18/2022,Enterprise,3/17/2022,10/26/2019
d000032,cu06126,Scale Virtual Supply-Chains,6315.56,Lost,9/27/2020,1/20/2020,Pro,1/11/2019,6/6/2019
d000033,cu09413,Incentivize One-To-One Niches,8191.74,Lost,4/2/2021,3/17/2021,Free,12/21/2020,4/16/2022
d000034,cu08713,Strategize Virtual Mindshare,288.71,Won,5/31/2018,11/19/2024,Pro,8/14/2022,9/4/2023
d000035,cu03151,Enable Visionary Info-Mediaries,4977.64,Lost,11/8/2022,3/25/2019,Basic,1/22/2024,4/13/2022
d000036,cu09085,Incubate Back-End Networks,4257,Lost,1/6/2023,9/28/2024,Free,1/27/2023,5/19/2023
d000037,cu03721,Strategize B2B Portals,1021.57,Won,2/28/2024,2/16/2020,Basic,5/23/2020,4/27/2020
d000038,cu09942,Enhance Web-Enabled Niches,5796.71,In Progress,8/10/2019,1/10/2023,Basic,3/6/2020,1/20/2025
d000039,cu05406,Enhance Holistic Networks,4245.21,Lost,6/15/2023,11/6/2024,Enterprise,4/27/2020,12/22/2024
d000040,cu07530,Reinvent Clicks-And-Mortar Markets,6745.04,In Progress,7/9/2024,6/3/2024,Enterprise,1/17/2021,11/14/2019
d000041,cu05867,Orchestrate Cross-Platform Paradigms,3965.12,Lost,5/19/2021,11/20/2024,Basic,8/13/2023,2/11/2020
d000042,cu04125,Leverage Global Mindshare,9922.82,In Progress,8/9/2018,8/13/2019,Enterprise,11/7/2020,2/20/2024
d000043,cu09830,E-Enable Sticky Portals,1279.66,Lost,10/10/2024,1/15/2022,Free,9/17/2019,2/16/2019
d000044,cu08057,Scale Synergistic E-Tailers,227.9,In Progress,7/31/2021,8/24/2022,Pro,5/20/2017,6/23/2021
d000045,cu02441,Seize Vertical Channels,6019.96,In Progress,8/13/2019,4/21/2023,Pro,1/13/2020,9/21/2020
d000046,cu05218,Drive Real-Time Interfaces,3598.72,Won,12/15/2022,8/2/2022,Basic,2/23/2023,5/28/2020
d000047,cu03726,Synergize Proactive Networks,2247.38,In Progress,12/17/2023,11/6/2021,Free,3/24/2020,10/23/2024
d000048,cu03620,Streamline Next-Generation Web-Readiness,2614.82,Won,9/26/2019,8/10/2024,Enterprise,2/3/2022,6/26/2022
d000049,cu04993,Disintermediate Cross-Media Portals,7335.9,Lost,7/16/2024,9/16/2023,Enterprise,4/4/2017,7/27/2020
d000050,cu05519,Brand Rich Niches,9072.81,Lost,12/14/2020,12/15/2021,Free,9/22/2023,8/8/2022
d000051,cu05875,Mesh Holistic Mindshare,6197.78,Lost,5/9/2019,6/16/2021,Pro,10/30/2021,12/27/2020
d000052,cu09506,Scale Proactive Functionalities,3322.08,In Progress,4/26/2021,10/28/2022,Free,11/3/2019,4/23/2023
d000053,cu08078,Transform Magnetic E-Business,5372.09,Lost,1/7/2019,6/23/2024,Pro,12/7/2021,9/8/2021
d000054,cu05905,Whiteboard Best-Of-Breed E-Business,1935.25,Lost,12/27/2019,4/19/2022,Pro,11/4/2019,9/6/2023
d000055,cu01364,Seize Dynamic Solutions,2133.03,Won,10/28/2021,12/4/2022,Basic,5/4/2019,6/3/2022
d000056,cu02049,E-Enable Virtual Content,4132.27,Lost,10/13/2018,9/11/2022,Pro,10/7/2023,12/1/2022
d000057,cu07390,Incubate 24/365 Markets,5993.35,Lost,9/19/2019,5/24/2019,Enterprise,6/12/2017,2/19/2025
d000058,cu09618,Syndicate Synergistic Methodologies,5686.83,Won,6/8/2018,9/19/2023,Basic,11/6/2021,3/25/2019
d000059,cu00631,Architect Turn-Key Relationships,5322.22,In Progress,3/14/2021,9/21/2020,Enterprise,1/4/2017,11/20/2019
d000060,cu07889,Integrate Integrated Portals,5711.08,Lost,5/20/2018,4/9/2025,Pro,2/11/2019,10/10/2019
d000061,cu09887,Brand Strategic Deliverables,8651.39,Lost,11/26/2022,1/18/2020,Free,8/25/2024,5/28/2023
d000062,cu06633,Transform Dot-Com Markets,6583.44,Won,1/30/2019,6/26/2021,Basic,11/28/2022,11/9/2024
d000063,cu00539,Expedite Back-End Initiatives,8340.7,In Progress,10/17/2022,2/8/2020,Basic,1/18/2019,9/20/2023
d000064,cu09647,Leverage Interactive E-Business,9833.54,In Progress,9/27/2022,11/16/2024,Enterprise,6/10/2023,9/8/2021
d000065,cu06494,Exploit Out-Of-The-Box Portals,7498.51,Lost,5/31/2024,2/17/2024,Free,4/28/2021,8/8/2019
d000066,cu04757,Synergize Sticky Technologies,4060.16,In Progress,7/16/2023,3/1/2022,Free,7/10/2020,9/24/2022
d000067,cu04495,Expedite Synergistic Architectures,8643.98,In Progress,6/20/2020,8/25/2020,Basic,6/26/2021,8/29/2025
d000068,cu00066,Re-Contextualize Killer Models,3454.86,In Progress,2/4/2021,8/21/2023,Pro,3/13/2020,3/16/2022
d000069,cu03990,Incubate Innovative E-Services,470.24,Lost,2/6/2023,9/10/2022,Pro,10/17/2022,12/11/2019
d000070,cu03868,Strategize Clicks-And-Mortar Paradigms,8041.88,Lost,12/24/2023,1/26/2022,Pro,2/14/2020,6/20/2025
d000071,cu02600,Redefine Enterprise Solutions,5652.93,Won,11/17/2024,3/23/2024,Free,5/18/2023,10/11/2020
d000072,cu03223,Cultivate Web-Enabled Action-Items,4332.34,Won,11/6/2020,12/11/2023,Free,10/1/2024,9/18/2019
d000073,cu00174,Disintermediate Mission-Critical Systems,6893.68,In Progress,5/31/2024,3/2/2020,Free,10/31/2021,4/14/2020
d000074,cu00790,Strategize Front-End E-Business,4055.94,Won,9/11/2024,9/28/2024,Free,7/21/2021,2/5/2022
d000075,cu00186,Innovate Cross-Platform Communities,1493.35,Won,5/27/2019,11/1/2024,Free,12/5/2018,8/22/2021
d000076,cu01728,Incentivize 24/7 Architectures,2108.25,Won,3/16/2020,6/5/2021,Pro,9/24/2021,6/29/2019
d000077,cu07943,Incentivize Real-Time Systems,1830.34,Lost,9/28/2021,2/2/2025,Pro,5/12/2023,3/4/2025
d000078,cu03989,Enable World-Class Solutions,9901.8,Won,4/11/2020,3/16/2019,Free,3/16/2022,5/30/2018
d000079,cu06671,Generate Bleeding-Edge Info-Mediaries,5609.18,Lost,2/25/2019,7/26/2024,Enterprise,7/8/2018,7/3/2019
d000080,cu05817,Matrix Killer Relationships,4929.85,Lost,7/29/2022,6/30/2021,Enterprise,1/20/2019,11/22/2022
d000081,cu09537,Generate Enterprise Metrics,5706.65,In Progress,6/12/2022,5/25/2023,Enterprise,10/4/2017,1/4/2024
d000082,cu03450,Seize Out-Of-The-Box Experiences,3148.96,Lost,10/3/2022,7/5/2024,Basic,2/14/2018,4/20/2024
d000083,cu01690,Aggregate Cross-Media E-Markets,1974.75,Won,9/27/2021,7/27/2023,Free,2/7/2019,8/11/2018
d000084,cu04308,Grow Plug-And-Play Supply-Chains,2290.17,In Progress,8/1/2021,1/7/2020,Basic,10/3/2024,7/7/2024
d000085,cu06892,Engage Global Channels,3066.13,Won,11/8/2023,10/29/2024,Enterprise,9/1/2018,5/7/2021
d000086,cu01962,Deliver One-To-One Methodologies,6175.83,In Progress,5/10/2022,1/26/2024,Enterprise,12/22/2023,7/12/2023
d000087,cu00619,Harness Ubiquitous Mindshare,7548.05,Lost,8/29/2021,12/21/2024,Free,12/30/2020,2/21/2022
d000088,cu08456,Embrace Wireless Bandwidth,8170.87,In Progress,1/23/2018,4/2/2024,Basic,9/16/2017,7/4/2022
d000089,cu01967,Visualize Collaborative Convergence,6622.62,In Progress,12/6/2022,11/17/2019,Enterprise,4/4/2020,2/9/2021
d000090,cu02008,Deploy Magnetic Functionalities,9195.05,Won,5/24/2024,9/8/2021,Free,2/26/2019,2/1/2020
d000091,cu03171,Synthesize Enterprise Communities,3034.27,In Progress,10/9/2021,5/2/2022,Free,5/28/2020,10/31/2018
d000092,cu02712,Incentivize One-To-One Markets,3043.45,Won,10/25/2020,8/1/2021,Free,2/15/2022,6/18/2024
d000093,cu06057,Integrate One-To-One Users,8352.91,In Progress,10/25/2019,11/10/2024,Pro,4/26/2019,5/13/2018
d000094,cu06971,Generate World-Class Partnerships,1668.52,In Progress,10/28/2019,11/1/2020,Free,3/10/2017,8/26/2018
d000095,cu06157,Aggregate Bricks-And-Clicks Relationships,4370.62,Lost,1/20/2020,10/26/2021,Free,6/9/2020,7/10/2023
d000096,cu08458,Harness Virtual Models,3598.18,In Progress,3/7/2023,8/13/2019,Free,12/26/2020,8/1/2019
d000097,cu02108,Incubate Distributed E-Services,6494.52,Lost,1/1/2021,3/17/2020,Free,11/29/2017,3/8/2021
d000098,cu04950,Extend Plug-And-Play Bandwidth,4740.18,In Progress,6/25/2018,6/28/2019,Pro,4/13/2023,4/14/2021
d000099,cu02875,Aggregate Back-End Action-Items,216.48,Lost,9/2/2023,8/17/2020,Enterprise,3/11/2019,1/20/2022
d000100,cu04499,Brand Front-End Technologies,4700.06,In Progress,1/17/2024,5/28/2023,Basic,6/29/2022,6/8/2019
d000101,cu01405,Matrix Distributed Web-Readiness,7921,In Progress,2/13/2019,2/14/2020,Free,1/29/2019,5/26/2019
d000102,cu09732,Deliver Dynamic Bandwidth,4846.93,Lost,10/21/2018,12/15/2024,Pro,3/15/2020,4/25/2025
d000103,cu02404,Deploy Next-Generation Initiatives,9328.74,Won,3/10/2019,6/9/2022,Enterprise,8/16/2021,3/21/2018
d000104,cu09342,Transform Synergistic Info-Mediaries,4361.41,Won,12/20/2023,1/12/2019,Basic,5/8/2024,5/3/2024
d000105,cu00760,Mesh Vertical Content,5540.76,In Progress,11/21/2020,11/5/2021,Free,10/5/2019,7/14/2019
d000106,cu00718,Exploit Integrated Platforms,7158.82,In Progress,7/16/2018,7/25/2025,Enterprise,5/1/2017,2/14/2018
d000107,cu01579,Architect Plug-And-Play Vortals,9020.31,Won,5/2/2018,7/1/2020,Basic,5/10/2021,5/28/2022
d000108,cu02382,Innovate Dynamic Platforms,1596.98,In Progress,1/7/2023,8/11/2021,Enterprise,12/15/2024,3/4/2022
d000109,cu04696,Grow Ubiquitous Functionalities,6729.12,Lost,5/31/2022,12/23/2024,Enterprise,4/25/2023,10/25/2021
d000110,cu08579,Utilize Mission-Critical Methodologies,7964.25,Won,1/24/2021,8/24/2021,Free,11/26/2018,4/29/2019
d000111,cu09548,Synergize Killer Web Services,806.95,Lost,1/30/2022,11/15/2024,Pro,10/18/2019,7/2/2022
d000112,cu09353,Drive Value-Added E-Services,1022.17,Lost,3/29/2023,1/9/2020,Pro,3/27/2023,12/2/2018
d000113,cu07458,Aggregate B2C Partnerships,6340.93,Lost,5/22/2020,3/18/2021,Free,10/18/2017,3/14/2021
d000114,cu01477,Strategize Viral Architectures,483.96,Lost,8/6/2018,12/30/2021,Pro,5/20/2023,6/15/2018
d000115,cu01269,Exploit Cross-Media E-Services,9814.78,Lost,8/10/2022,4/23/2021,Enterprise,9/1/2023,6/27/2023
d000116,cu08873,Streamline Next-Generation Relationships,1327.19,Lost,1/31/2019,2/6/2024,Pro,11/29/2020,1/31/2024
d000117,cu08945,Productize Best-Of-Breed Infrastructures,9886.84,In Progress,3/10/2019,5/3/2021,Pro,12/28/2024,11/6/2020
d000118,cu08016,Utilize Cross-Media Niches,3575.17,In Progress,8/15/2018,8/24/2021,Basic,5/30/2023,8/15/2025
d000119,cu09317,Syndicate Bricks-And-Clicks Deliverables,5513.09,Lost,4/27/2021,6/7/2025,Basic,12/1/2017,5/12/2018
d000120,cu09157,Transition Cross-Media Schemas,7870.62,Won,6/16/2018,3/24/2020,Basic,8/14/2021,8/7/2018
d000121,cu08299,Harness Ubiquitous Applications,8660.59,Won,12/23/2018,2/10/2024,Basic,5/19/2020,7/1/2025
d000122,cu03067,Empower Interactive Portals,6266.29,In Progress,9/2/2018,9/1/2023,Pro,10/30/2021,7/21/2022
d000123,cu06736,Incubate Turn-Key E-Services,7976,Won,5/30/2022,4/24/2021,Pro,2/12/2017,8/7/2024
d000124,cu05238,Redefine Web-Enabled Technologies,3299.44,Lost,3/26/2024,7/13/2020,Enterprise,8/25/2024,5/13/2024
d000125,cu02104,Disintermediate Revolutionary E-Tailers,257.41,In Progress,10/21/2024,3/3/2025,Pro,1/16/2024,11/28/2019
d000126,cu05381,Monetize Cross-Media Metrics,3389.26,Won,9/28/2020,6/4/2024,Pro,12/30/2022,8/26/2019
d000127,cu04707,Integrate 24/365 Relationships,1480.3,Lost,9/17/2019,3/5/2024,Free,7/15/2017,2/16/2022
d000128,cu03109,Enhance Bricks-And-Clicks Markets,7822.63,Lost,8/31/2023,9/24/2023,Pro,1/8/2021,2/23/2018
d000129,cu06076,Harness Scalable Platforms,5883.65,Lost,7/16/2020,1/31/2024,Basic,2/7/2021,6/14/2019
d000130,cu04313,Optimize Extensible Channels,4412.17,Lost,9/22/2023,5/22/2022,Enterprise,4/5/2019,1/8/2024
d000131,cu05812,Disintermediate Visionary Mindshare,2570.78,In Progress,1/27/2021,8/22/2019,Free,11/25/2020,12/5/2018
d000132,cu04594,Embrace Value-Added Deliverables,6936.05,In Progress,9/13/2023,6/20/2020,Free,8/18/2022,8/4/2022
d000133,cu04317,Incubate Leading-Edge Platforms,958.84,Lost,7/6/2020,6/29/2022,Pro,2/6/2019,10/29/2022
d000134,cu03070,Scale Impactful Communities,1683.37,In Progress,7/7/2021,8/15/2019,Pro,3/1/2023,8/13/2020
d000135,cu02104,Revolutionize Revolutionary Niches,2145.53,Won,12/4/2018,1/10/2022,Pro,8/18/2024,2/10/2020
d000136,cu06487,Implement Dot-Com Infrastructures,3240.85,Lost,8/1/2019,4/5/2022,Free,11/9/2021,3/3/2023
d000137,cu01354,Enable Scalable Supply-Chains,5316.12,Won,9/17/2022,7/14/2025,Basic,8/27/2018,9/11/2018
d000138,cu06799,Synergize Bricks-And-Clicks Methodologies,4062.3,In Progress,8/5/2023,12/20/2022,Enterprise,9/1/2024,8/26/2022
d000139,cu08947,Harness Interactive Web-Readiness,3440.7,Won,12/7/2024,12/12/2020,Free,10/7/2018,8/19/2018
d000140,cu05346,Facilitate Magnetic Infrastructures,1856.54,Won,5/16/2020,4/16/2021,Basic,1/30/2021,4/23/2025
d000141,cu04697,Matrix B2B Paradigms,4337.99,In Progress,12/11/2024,8/27/2025,Pro,11/8/2020,6/29/2022
d000142,cu09289,Unleash Real-Time Web Services,978.13,Won,8/30/2018,5/31/2023,Basic,8/24/2021,8/5/2021
d000143,cu00595,Engineer Vertical Partnerships,8949.32,Won,12/23/2021,4/19/2024,Pro,7/31/2023,7/28/2023
d000144,cu01760,Whiteboard Dot-Com Action-Items,4132.93,In Progress,6/9/2018,1/6/2023,Free,2/13/2024,10/22/2019
d000145,cu03256,Drive Bleeding-Edge Solutions,4072.62,Won,3/8/2022,3/21/2020,Free,6/19/2017,12/4/2018
d000146,cu05090,Optimize Wireless Markets,5185.29,Lost,3/25/2018,2/14/2022,Pro,5/8/2022,2/9/2022
d000147,cu00577,Syndicate Frictionless Paradigms,563.07,In Progress,10/15/2019,8/4/2025,Basic,2/19/2021,1/5/2018
d000148,cu02157,Engineer 24/365 Deliverables,3346.12,In Progress,4/25/2019,4/16/2019,Basic,7/20/2021,3/11/2023
d000149,cu08610,Incubate Cutting-Edge Systems,9991.45,In Progress,3/20/2024,5/16/2019,Pro,8/30/2017,9/30/2019
d000150,cu00584,Productize Virtual Models,9132.14,Won,9/23/2018,4/25/2023,Free,4/27/2017,12/4/2024
d000151,cu07436,Incentivize Visionary Models,1286.68,In Progress,9/21/2020,9/10/2023,Enterprise,9/22/2022,1/9/2020
d000152,cu01910,Embrace Leading-Edge E-Tailers,7547.66,In Progress,12/5/2020,9/6/2021,Basic,8/7/2021,9/8/2019
d000153,cu02225,Empower Vertical Partnerships,1867.51,Lost,4/11/2023,10/8/2019,Basic,3/20/2017,1/10/2024
d000154,cu08807,Deploy Transparent Partnerships,4096.34,In Progress,11/19/2024,12/16/2021,Enterprise,3/8/2023,11/28/2023
d000155,cu02377,Facilitate Vertical Infrastructures,3596.29,Won,9/28/2024,11/15/2023,Pro,11/10/2018,10/3/2023
d000156,cu05412,Engage Plug-And-Play Convergence,7996.13,Won,4/10/2019,8/21/2025,Free,1/5/2019,8/20/2018
d000157,cu03490,Generate Web-Enabled Communities,4542.9,In Progress,8/28/2024,10/12/2020,Free,1/28/2023,1/4/2025
d000158,cu05509,Streamline Next-Generation Channels,735.22,In Progress,7/28/2019,10/16/2019,Pro,4/24/2017,10/27/2024
d000159,cu00263,Matrix Virtual E-Tailers,2447.87,Won,4/15/2024,4/18/2024,Pro,9/16/2020,9/29/2020
d000160,cu07593,Engineer Extensible Users,279.93,In Progress,3/9/2019,4/22/2025,Pro,3/16/2022,10/12/2018
d000161,cu04180,Synergize Dot-Com Architectures,456.38,Won,8/19/2023,6/8/2019,Enterprise,8/10/2018,2/19/2025
d000162,cu05449,Repurpose Clicks-And-Mortar Networks,333.22,Lost,8/10/2020,6/3/2022,Pro,12/27/2020,10/10/2022
d000163,cu00556,Expedite User-Centric Models,5349.05,In Progress,12/5/2023,8/10/2023,Free,10/6/2022,10/7/2020
d000164,cu09154,Extend Rich Metrics,7091.75,Lost,12/29/2019,2/18/2023,Basic,8/30/2020,3/8/2021
d000165,cu00547,Engage 24/365 Portals,1693.21,Lost,12/28/2021,6/6/2019,Pro,2/3/2017,3/27/2021
d000166,cu06927,Enable Out-Of-The-Box Technologies,4491.19,Lost,6/29/2018,5/20/2019,Free,3/31/2023,4/25/2025
d000167,cu08710,Re-Intermediate Best-Of-Breed Portals,1471.6,Lost,9/25/2024,11/29/2020,Free,10/1/2022,10/9/2022
d000168,cu08699,Repurpose Innovative Interfaces,9888.76,Lost,1/17/2021,7/22/2022,Enterprise,6/22/2019,10/26/2022
d000169,cu03082,Engage Killer Communities,3276.45,Lost,1/14/2018,10/18/2024,Enterprise,10/26/2021,4/3/2020
d000170,cu08399,Enable Collaborative Relationships,5875.58,In Progress,10/17/2020,12/20/2021,Free,6/4/2017,8/29/2025
d000171,cu00460,Visualize Cross-Media Roi,5885.1,In Progress,2/13/2021,6/20/2023,Basic,3/29/2023,6/2/2020
d000172,cu06919,Incentivize Cross-Platform Content,4676.52,Lost,9/10/2019,8/27/2024,Free,1/6/2021,12/14/2018
d000173,cu09434,Architect Cross-Media Functionalities,8320.94,In Progress,9/11/2022,1/17/2019,Enterprise,10/19/2024,7/10/2020
d000174,cu04970,Exploit Magnetic E-Services,1069.45,Won,4/10/2019,5/4/2021,Basic,4/4/2018,4/22/2021
d000175,cu07090,Incentivize Clicks-And-Mortar Markets,5565.76,Lost,8/1/2024,11/19/2021,Enterprise,4/17/2017,4/7/2021
d000176,cu09107,Disintermediate Rich Platforms,2439.39,Lost,8/22/2023,5/28/2023,Basic,11/5/2019,4/15/2025
d000177,cu04114,Transform Real-Time Networks,3800.38,Won,7/29/2019,8/16/2021,Basic,9/17/2020,8/7/2018
d000178,cu02996,Streamline Seamless Interfaces,3163.95,In Progress,5/2/2023,2/25/2021,Basic,9/15/2019,12/13/2018
d000179,cu02272,Integrate Wireless Relationships,9923.48,In Progress,10/13/2023,1/13/2023,Basic,7/27/2019,4/22/2018
d000180,cu03482,Deploy Extensible Users,7121.49,In Progress,4/7/2023,7/31/2020,Basic,10/14/2018,6/22/2019
d000181,cu04869,Repurpose End-To-End Models,8460.45,Lost,9/29/2019,9/6/2022,Enterprise,5/16/2017,7/19/2019
d000182,cu08172,Syndicate Strategic E-Services,5794.86,In Progress,9/1/2023,2/13/2025,Pro,4/30/2023,7/30/2023
d000183,cu05206,Engage Open-Source Channels,3184,Lost,4/15/2020,7/4/2022,Free,12/29/2019,3/9/2020
d000184,cu04140,Visualize E-Business Networks,3548.3,Lost,9/22/2021,9/23/2020,Enterprise,12/7/2019,2/18/2023
d000185,cu06484,Harness User-Centric E-Markets,3972.3,In Progress,7/4/2018,6/4/2019,Enterprise,1/8/2024,4/13/2018
d000186,cu02792,Extend Front-End E-Business,5868.78,Won,7/25/2021,3/10/2024,Basic,10/6/2017,9/22/2019
d000187,cu01301,Evolve Value-Added Interfaces,5577.7,In Progress,11/27/2018,3/15/2023,Enterprise,9/7/2017,6/24/2020
d000188,cu03848,Repurpose World-Class Interfaces,6729.57,In Progress,6/30/2022,6/29/2022,Enterprise,4/29/2018,9/29/2020
d000189,cu03553,Architect Intuitive Solutions,3287.68,Won,9/30/2022,9/24/2022,Basic,10/31/2017,11/10/2020
d000190,cu09069,Repurpose One-To-One Web-Readiness,8408.38,In Progress,11/1/2020,3/9/2021,Pro,1/25/2020,10/25/2020
d000191,cu01759,Redefine Distributed Platforms,7457.54,In Progress,5/4/2022,6/23/2022,Pro,4/12/2017,9/25/2023
d000192,cu08613,Envisioneer Innovative Markets,6013.61,Won,3/5/2021,4/30/2020,Enterprise,7/4/2017,9/27/2021
d000193,cu02989,Expedite 24/365 Users,5299.43,Lost,10/12/2019,1/12/2019,Pro,7/4/2022,5/4/2018
d000194,cu00446,Visualize Scalable Experiences,6546.92,In Progress,1/26/2021,9/25/2021,Enterprise,4/30/2021,7/29/2019
d000195,cu06408,Scale B2C Systems,3979.64,Won,7/25/2024,11/26/2023,Basic,3/30/2022,9/16/2018
d000196,cu03946,Optimize Best-Of-Breed Roi,4226.51,Won,10/10/2024,7/28/2024,Pro,7/17/2023,5/8/2024
d000197,cu03747,Re-Contextualize Extensible Infrastructures,2089.16,Lost,2/21/2020,10/2/2023,Basic,1/29/2024,3/2/2018
d000198,cu03099,Evolve Magnetic Supply-Chains,3675.21,Won,2/22/2021,3/1/2023,Free,1/4/2024,8/21/2025
d000199,cu07364,Synergize Integrated Supply-Chains,8833.28,Won,11/8/2020,10/26/2019,Basic,10/4/2017,1/13/2019
d000200,cu01647,Implement Distributed Metrics,6563.03,Lost,12/12/2021,4/4/2019,Basic,2/3/2021,8/17/2025
d000201,cu02986,Brand Interactive Eyeballs,9860.52,Won,10/12/2022,12/4/2023,Enterprise,5/17/2018,7/28/2018
d000202,cu03107,Revolutionize Back-End Channels,6708.02,Won,11/5/2018,8/15/2025,Enterprise,12/5/2018,11/7/2024
d000203,cu05423,E-Enable Cutting-Edge Channels,9947.67,In Progress,10/7/2020,6/24/2022,Pro,2/3/2018,2/24/2020
d000204,cu00616,Visualize Enterprise Interfaces,5771.7,Won,7/25/2024,7/24/2020,Enterprise,1/6/2022,4/24/2021
d000205,cu06549,Matrix Virtual Synergies,1096.91,In Progress,2/7/2019,3/13/2025,Enterprise,3/24/2017,7/23/2023
d000206,cu07102,Embrace Value-Added Eyeballs,5616.76,Won,1/2/2022,1/22/2023,Basic,2/25/2019,2/16/2023
d000207,cu00793,Implement Out-Of-The-Box Communities,1773.23,In Progress,5/9/2024,4/21/2019,Free,8/13/2019,1/12/2022
d000208,cu04193,Cultivate Innovative Channels,1510.33,Won,11/14/2022,7/5/2023,Free,8/4/2023,5/4/2022
d000209,cu05860,Disintermediate Innovative Channels,4278.6,Won,6/30/2021,1/12/2020,Pro,3/30/2023,10/16/2024
d000210,cu02254,Synergize Interactive Bandwidth,5091.69,In Progress,5/31/2022,7/23/2022,Enterprise,7/9/2022,7/16/2020
d000211,cu04475,Reinvent Global Schemas,7407.18,Lost,7/14/2019,8/12/2024,Pro,1/27/2023,7/9/2022
d000212,cu01729,Engage Wireless Schemas,1452.35,Won,5/10/2020,4/27/2025,Enterprise,6/25/2017,10/30/2021
d000213,cu03350,Monetize Transparent Architectures,2436.47,In Progress,10/20/2018,4/19/2024,Basic,2/7/2021,1/3/2019
d000214,cu03987,Grow Collaborative Communities,2917.92,In Progress,1/13/2023,12/18/2024,Pro,12/8/2024,12/5/2019
