ad_id,content_id,ad_type,revenue_amount,currency,revenue_date
205,32038,Mid-roll,20.56,USD,2023-05-02
206,11205,Mid-roll,13.2,USD,2024-03-29
207,13394,Pre-roll,18.62,USD,2024-12-17
208,10220,Mid-roll,23.86,USD,2024-05-23
209,28700,Display,32.5,USD,2023-02-16
210,2994,Display,28.18,USD,2024-05-04
211,31991,Pre-roll,14.82,USD,2023-08-14
212,48659,Pre-roll,28.24,USD,2023-09-15
213,24719,Pre-roll,6.69,USD,2024-12-12
214,3949,Pre-roll,21.43,USD,2024-01-23
215,879,Pre-roll,44.29,USD,2023-09-30
216,20304,Display,20.31,USD,2024-05-04
217,21016,Display,35.56,USD,2024-07-13
218,14259,Overlay,11.84,USD,2023-09-17
219,11887,Display,38.01,USD,2023-11-08
220,18614,Mid-roll,15.25,USD,2023-05-10
221,36413,Display,31.14,USD,2024-06-20
222,29771,Display,45.71,USD,2023-01-26
223,31588,Pre-roll,19.81,USD,2024-04-26
224,34874,Display,31.03,USD,2024-07-01
225,33232,Mid-roll,35.36,USD,2023-09-08
226,40173,Display,32.75,USD,2023-03-18
227,14623,Pre-roll,33.33,USD,2023-04-23
228,35971,Pre-roll,23.9,USD,2023-10-19
229,33176,Overlay,33.92,USD,2023-04-01
230,34913,Mid-roll,31.92,USD,2024-09-29
231,38922,Overlay,10.78,USD,2024-05-01
232,36534,Mid-roll,6.72,USD,2024-03-26
233,24154,Overlay,18.7,USD,2023-10-02
234,7228,Overlay,44.58,USD,2024-01-13
235,35086,Pre-roll,42.0,USD,2023-01-07
236,33540,Pre-roll,26.26,USD,2024-11-28
237,14870,Mid-roll,49.15,USD,2023-01-29
238,11360,Overlay,45.42,USD,2024-09-02
239,8405,Pre-roll,3.78,USD,2023-10-17
240,21963,Overlay,2.49,USD,2024-09-16
241,1498,Display,44.92,USD,2023-07-03
242,31854,Mid-roll,35.04,USD,2023-07-07
243,49642,Overlay,45.52,USD,2023-01-03
244,15003,Display,0.56,USD,2023-05-15
245,40134,Display,21.5,USD,2024-08-03
246,12766,Display,28.23,USD,2024-12-12
247,25105,Mid-roll,6.76,USD,2023-03-19
248,4264,Mid-roll,3.31,USD,2024-12-28
249,43040,Mid-roll,33.9,USD,2023-05-27
250,45340,Pre-roll,30.12,USD,2023-11-14
251,5617,Pre-roll,19.1,USD,2024-05-18
252,17574,Mid-roll,6.09,USD,2023-05-25
253,1324,Overlay,28.62,USD,2023-06-27
254,36958,Display,9.95,USD,2024-05-13
255,49128,Pre-roll,18.68,USD,2023-02-17
256,41287,Pre-roll,14.97,USD,2024-08-20
257,42129,Display,36.0,USD,2023-03-08
258,11276,Overlay,31.17,USD,2024-11-09
259,28399,Display,37.18,USD,2024-09-18
260,22070,Pre-roll,23.14,USD,2024-11-14
261,44180,Overlay,5.6,USD,2023-03-26
262,1753,Pre-roll,43.37,USD,2023-04-17
263,26622,Pre-roll,25.49,USD,2023-06-20
264,2,Display,27.9,USD,2024-05-20
265,19018,Display,40.07,USD,2024-10-11
266,12352,Pre-roll,9.15,USD,2023-09-11
267,19229,Overlay,40.27,USD,2023-09-25
268,18332,Pre-roll,0.76,USD,2023-01-30
269,17087,Pre-roll,18.31,USD,2023-01-13
270,48702,Pre-roll,22.49,USD,2023-08-15
271,6836,Pre-roll,40.5,USD,2024-01-28
272,20038,Overlay,12.5,USD,2024-05-11
273,2948,Overlay,8.16,USD,2024-04-25
274,1530,Pre-roll,19.43,USD,2024-12-18
275,18772,Display,6.54,USD,2024-01-06
276,8019,Overlay,1.81,USD,2024-08-05
277,39921,Display,12.02,USD,2024-07-30
278,21690,Display,12.66,USD,2024-01-06
279,1764,Mid-roll,29.32,USD,2023-09-28
280,30644,Pre-roll,49.98,USD,2024-08-08
281,27430,Mid-roll,34.42,USD,2023-03-17
282,28752,Mid-roll,34.6,USD,2023-01-07
283,8781,Display,34.56,USD,2024-09-25
284,9349,Mid-roll,33.07,USD,2024-05-28
285,4133,Overlay,45.93,USD,2024-08-25
286,298,Pre-roll,12.12,USD,2023-03-05
287,19668,Pre-roll,15.86,USD,2023-12-09
288,25738,Mid-roll,22.97,USD,2023-10-11
289,21610,Display,26.63,USD,2023-10-09
290,18510,Display,30.56,USD,2024-09-13
291,30269,Display,6.98,USD,2024-09-21
292,26221,Mid-roll,49.29,USD,2024-05-09
293,38618,Overlay,49.85,USD,2024-04-04
294,49075,Display,49.26,USD,2023-06-18
295,12021,Mid-roll,18.09,USD,2024-01-07
296,1035,Pre-roll,5.38,USD,2023-07-07
297,47874,Overlay,15.67,USD,2023-02-19
298,33285,Display,28.82,USD,2023-02-25
299,2881,Mid-roll,25.88,USD,2023-10-24
300,10624,Mid-roll,10.17,USD,2024-01-30
301,41185,Pre-roll,40.54,USD,2023-05-11
302,16715,Mid-roll,15.75,USD,2024-06-30
303,39618,Display,38.23,USD,2023-06-03
304,410,Pre-roll,17.13,USD,2024-08-26
305,23934,Pre-roll,28.78,USD,2024-07-19
306,39739,Display,12.85,USD,2023-10-30
307,22021,Display,39.79,USD,2024-12-16
308,39916,Pre-roll,6.74,USD,2024-03-02
309,47990,Pre-roll,25.16,USD,2024-08-04
310,46382,Mid-roll,10.26,USD,2024-12-17
311,18327,Display,34.24,USD,2023-01-16
312,32277,Pre-roll,5.76,USD,2023-11-13
313,17722,Mid-roll,25.56,USD,2024-08-28
314,15423,Overlay,19.43,USD,2024-07-01
315,22276,Mid-roll,42.99,USD,2023-11-20
316,19782,Pre-roll,32.84,USD,2024-12-16
317,18561,Mid-roll,6.07,USD,2023-05-22
318,47653,Mid-roll,28.5,USD,2023-04-09
319,12325,Mid-roll,29.9,USD,2024-04-15
320,17189,Overlay,46.42,USD,2023-01-21
321,32650,Overlay,34.11,USD,2023-10-09
322,33369,Pre-roll,38.01,USD,2024-11-05
323,12354,Pre-roll,0.72,USD,2024-09-19
324,4593,Pre-roll,3.49,USD,2024-02-17
325,43898,Mid-roll,9.28,USD,2023-04-11
326,18567,Overlay,40.7,USD,2023-03-19
327,47157,Mid-roll,43.85,USD,2023-12-26
328,18059,Pre-roll,28.43,USD,2023-03-09
329,49168,Overlay,41.46,USD,2024-02-23
330,17361,Display,49.48,USD,2023-12-23
331,46208,Pre-roll,4.57,USD,2023-05-11
332,16930,Overlay,8.47,USD,2024-12-22
333,24174,Overlay,19.54,USD,2023-08-24
334,32062,Display,36.25,USD,2023-09-03
335,46430,Mid-roll,11.81,USD,2023-09-07
336,38085,Overlay,37.94,USD,2023-10-15
337,39080,Pre-roll,15.73,USD,2023-08-10
338,37271,Overlay,23.99,USD,2024-09-19
339,633,Pre-roll,21.52,USD,2023-12-06
340,26799,Overlay,30.17,USD,2023-03-14
341,14942,Pre-roll,49.1,USD,2023-05-24
342,11936,Overlay,14.48,USD,2023-04-06
343,34697,Display,34.01,USD,2023-02-28
344,23243,Display,11.15,USD,2024-01-10
345,5275,Overlay,28.0,USD,2023-02-26
346,42265,Pre-roll,35.89,USD,2024-10-08
347,7921,Overlay,44.49,USD,2023-09-03
348,31214,Pre-roll,41.51,USD,2024-09-21
349,34932,Display,9.32,USD,2024-01-24
350,15157,Pre-roll,30.64,USD,2023-03-30
351,14264,Display,26.12,USD,2023-05-22
352,26418,Overlay,11.82,USD,2024-03-04
353,11176,Pre-roll,9.38,USD,2024-06-03
354,12727,Pre-roll,49.22,USD,2023-06-14
355,18258,Overlay,22.03,USD,2023-10-03
356,23972,Overlay,25.77,USD,2023-05-13
357,16914,Mid-roll,15.5,USD,2024-06-02
358,47543,Pre-roll,31.68,USD,2024-08-22
359,3611,Mid-roll,40.36,USD,2023-07-04
360,10427,Mid-roll,26.21,USD,2024-02-26
361,48755,Pre-roll,1.2,USD,2024-11-18
362,19969,Mid-roll,34.93,USD,2023-04-11
363,5931,Pre-roll,0.46,USD,2024-11-28
364,38572,Overlay,4.74,USD,2024-07-29
365,262,Pre-roll,34.75,USD,2023-04-21
366,24781,Overlay,4.74,USD,2023-04-05
367,46207,Pre-roll,40.99,USD,2023-10-15
368,7406,Pre-roll,26.06,USD,2024-10-21
369,44885,Mid-roll,42.93,USD,2024-12-10
370,28863,Overlay,21.8,USD,2023-05-29
371,11048,Display,47.92,USD,2023-01-02
372,7732,Display,3.18,USD,2023-04-20
373,38385,Display,4.57,USD,2023-05-20
374,34660,Overlay,29.41,USD,2023-05-19
375,40617,Display,28.58,USD,2023-04-03
376,45776,Display,28.22,USD,2024-02-10
377,6761,Pre-roll,2.63,USD,2023-08-23
378,9495,Pre-roll,28.74,USD,2023-06-18
379,17600,Pre-roll,21.35,USD,2023-07-30
380,41298,Mid-roll,37.78,USD,2023-08-06
381,13801,Pre-roll,42.55,USD,2024-07-29
382,9601,Overlay,10.61,USD,2024-12-22
383,26685,Display,33.17,USD,2024-06-25
384,11646,Display,8.46,USD,2023-06-11
385,4629,Overlay,23.26,USD,2023-12-04
386,43751,Mid-roll,38.83,USD,2023-06-09
387,13980,Display,23.46,USD,2023-04-11
388,13443,Display,35.13,USD,2024-10-18
389,10198,Pre-roll,1.79,USD,2023-03-02
390,16220,Pre-roll,41.88,USD,2024-09-28
391,14755,Overlay,1.56,USD,2023-03-25
392,16454,Display,39.31,USD,2024-12-23
393,46051,Display,17.51,USD,2023-03-08
394,1218,Display,0.13,USD,2024-03-30
395,41155,Display,13.33,USD,2023-09-10
396,46440,Mid-roll,38.26,USD,2023-11-21
397,1409,Overlay,46.71,USD,2024-10-27
398,5739,Overlay,49.23,USD,2024-07-11
399,4265,Display,41.92,USD,2024-02-25
400,31165,Overlay,18.64,USD,2023-02-14
401,33243,Overlay,5.51,USD,2024-10-13
402,27664,Mid-roll,6.63,USD,2023-05-30
403,7575,Pre-roll,21.66,USD,2023-11-11
404,23191,Pre-roll,6.06,USD,2024-10-13
405,1687,Display,34.58,USD,2024-09-24
406,9926,Display,29.01,USD,2024-09-26
407,29665,Overlay,7.2,USD,2024-08-23
408,49647,Pre-roll,25.14,USD,2023-06-13
409,13,Overlay,41.82,USD,2024-03-12
410,36153,Display,44.84,USD,2023-11-25
411,2623,Overlay,27.48,USD,2024-08-01
412,48014,Mid-roll,34.43,USD,2023-02-10
413,36883,Display,45.68,USD,2023-02-15
414,26548,Mid-roll,14.61,USD,2023-08-27
415,15667,Display,33.75,USD,2023-05-08
416,43543,Mid-roll,46.32,USD,2023-01-01
417,44190,Mid-roll,44.29,USD,2023-08-07
418,3113,Pre-roll,6.14,USD,2023-02-27
419,31655,Display,0.75,USD,2024-05-05
420,21459,Display,19.91,USD,2024-12-26
421,35365,Overlay,34.36,USD,2023-10-24
422,46139,Pre-roll,43.17,USD,2024-09-22
423,20214,Overlay,21.16,USD,2023-12-27
424,48739,Display,38.09,USD,2023-05-24
425,41937,Overlay,16.42,USD,2024-08-29
426,24344,Pre-roll,7.62,USD,2023-04-10
427,43558,Display,16.44,USD,2024-03-28
428,44299,Mid-roll,28.37,USD,2023-12-16
429,5085,Pre-roll,18.35,USD,2024-05-28
430,44186,Mid-roll,9.62,USD,2024-10-24
431,21502,Overlay,27.77,USD,2023-05-10
432,33660,Overlay,29.87,USD,2024-08-24
433,10408,Mid-roll,23.32,USD,2023-07-07
434,44901,Overlay,5.54,USD,2024-01-29
435,40394,Overlay,30.31,USD,2024-01-29
436,28182,Pre-roll,39.55,USD,2023-06-07
437,40741,Display,6.92,USD,2024-05-29
438,21435,Pre-roll,23.92,USD,2024-05-11
439,30390,Pre-roll,7.18,USD,2024-02-04
440,37574,Display,40.87,USD,2024-12-17
441,37459,Mid-roll,24.39,USD,2023-02-26
442,6117,Mid-roll,38.25,USD,2023-07-18
443,6817,Overlay,37.3,USD,2023-08-18
444,27654,Mid-roll,26.6,USD,2023-09-03
445,15303,Display,1.12,USD,2023-11-28
446,108,Overlay,8.34,USD,2024-08-08
447,24532,Pre-roll,31.55,USD,2023-03-16
448,44870,Display,8.34,USD,2024-01-05
449,42251,Display,31.51,USD,2023-01-28
450,3217,Pre-roll,20.62,USD,2023-05-20
451,16348,Display,46.82,USD,2023-10-10
452,14944,Overlay,6.3,USD,2024-07-25
453,20183,Display,36.32,USD,2024-02-06
454,11660,Overlay,41.05,USD,2024-08-13
455,25225,Display,23.66,USD,2024-02-19
456,48586,Overlay,38.83,USD,2024-03-23
457,45746,Display,0.17,USD,2023-12-03
458,35690,Mid-roll,48.79,USD,2024-09-07
459,2623,Mid-roll,18.21,USD,2024-12-14
460,18251,Mid-roll,49.35,USD,2024-02-25
461,14262,Pre-roll,17.87,USD,2023-01-31
462,19850,Mid-roll,33.33,USD,2023-05-05
463,37964,Display,20.37,USD,2024-06-27
464,29514,Overlay,30.66,USD,2023-01-21
465,21861,Overlay,29.54,USD,2023-04-21
466,32602,Mid-roll,36.78,USD,2024-12-05
467,28460,Mid-roll,14.51,USD,2024-02-16
468,27514,Overlay,47.94,USD,2024-05-14
469,27794,Display,46.73,USD,2023-12-28
470,41712,Pre-roll,45.68,USD,2023-09-06
471,36936,Mid-roll,40.09,USD,2023-01-15
472,41062,Overlay,42.98,USD,2024-06-27
473,6457,Display,6.16,USD,2023-04-10
474,44487,Overlay,2.09,USD,2024-01-04
475,14626,Display,9.18,USD,2023-07-11
476,23296,Display,30.68,USD,2023-07-30
477,22702,Mid-roll,21.75,USD,2024-07-01
478,32462,Overlay,26.93,USD,2023-02-11
479,42848,Mid-roll,12.2,USD,2023-12-24
480,34229,Pre-roll,44.41,USD,2023-02-23
481,5161,Overlay,10.57,USD,2024-03-01
482,41546,Display,9.14,USD,2024-10-19
483,2538,Mid-roll,46.61,USD,2023-04-26
484,26281,Pre-roll,3.58,USD,2024-05-15
485,22695,Overlay,2.91,USD,2023-05-20
486,12975,Mid-roll,46.67,USD,2024-09-13
487,43260,Pre-roll,22.46,USD,2023-04-20
488,18480,Overlay,2.85,USD,2023-03-21
489,21326,Mid-roll,45.11,USD,2024-12-05
490,14458,Pre-roll,5.84,USD,2023-04-29
491,49504,Display,39.1,USD,2024-03-11
492,34036,Display,20.45,USD,2023-01-09
493,33725,Display,11.07,USD,2023-03-04
494,7727,Mid-roll,34.76,USD,2024-02-27
495,16289,Display,26.9,USD,2024-12-25
496,21076,Pre-roll,19.18,USD,2024-12-14
497,27972,Pre-roll,18.21,USD,2023-08-01
498,23192,Mid-roll,34.36,USD,2023-03-31
499,21242,Display,19.89,USD,2023-11-14
500,4060,Display,3.78,USD,2024-02-16
501,29798,Overlay,42.39,USD,2023-07-14
502,35232,Pre-roll,33.11,USD,2023-01-21
503,45218,Pre-roll,45.69,USD,2023-01-01
504,49960,Display,46.65,USD,2023-08-16
505,13772,Display,35.37,USD,2024-02-23
506,14252,Overlay,6.57,USD,2023-03-30
507,35117,Display,15.02,USD,2023-09-27
508,23184,Mid-roll,19.14,USD,2023-02-07
509,12889,Mid-roll,24.0,USD,2023-10-02
510,4057,Overlay,47.39,USD,2024-09-16
511,16669,Display,19.81,USD,2023-08-25
512,44171,Display,20.78,USD,2023-05-10
513,16161,Pre-roll,0.7,USD,2024-02-04
514,33615,Display,8.49,USD,2024-08-02
515,30729,Pre-roll,37.17,USD,2024-02-15
516,17743,Mid-roll,26.92,USD,2024-11-25
517,13502,Display,15.43,USD,2024-09-24
518,1938,Mid-roll,31.68,USD,2023-01-30
519,44916,Pre-roll,36.82,USD,2024-04-28
520,41436,Mid-roll,31.97,USD,2024-05-22
521,44296,Display,26.28,USD,2023-07-14
522,17810,Mid-roll,44.92,USD,2024-02-16
523,42285,Mid-roll,6.14,USD,2024-06-12
524,30383,Display,14.06,USD,2024-03-22
525,25340,Pre-roll,11.69,USD,2023-04-23
526,7735,Display,28.9,USD,2023-10-11
527,32938,Overlay,11.09,USD,2024-02-19
528,1514,Overlay,11.41,USD,2024-01-21
529,6648,Mid-roll,10.54,USD,2024-03-15
530,28126,Pre-roll,41.81,USD,2023-12-18
531,26879,Pre-roll,35.73,USD,2023-09-16
532,28297,Display,20.64,USD,2023-07-23
533,44176,Pre-roll,35.06,USD,2023-07-01
534,44841,Pre-roll,17.89,USD,2023-10-24
535,187,Pre-roll,35.79,USD,2023-08-21
536,30115,Overlay,49.43,USD,2023-01-24
537,16332,Overlay,11.01,USD,2023-12-07
538,6238,Display,30.73,USD,2023-01-20
539,24771,Mid-roll,43.12,USD,2024-10-15
540,22151,Display,10.46,USD,2023-10-29
541,14264,Pre-roll,4.57,USD,2024-05-02
542,18394,Overlay,36.05,USD,2024-01-06
543,39335,Pre-roll,37.05,USD,2023-04-16
544,38359,Pre-roll,37.93,USD,2023-03-04
545,15798,Pre-roll,28.58,USD,2023-06-20
546,1975,Overlay,46.13,USD,2024-05-16
547,6717,Display,27.31,USD,2024-06-09
548,11617,Overlay,22.11,USD,2023-10-22
549,33984,Pre-roll,44.55,USD,2023-05-14
550,19949,Mid-roll,38.89,USD,2023-12-05
551,49394,Overlay,13.17,USD,2024-11-13
552,36906,Pre-roll,8.65,USD,2023-02-10
553,38241,Overlay,44.96,USD,2023-05-01
554,3329,Overlay,5.18,USD,2023-07-19
555,6451,Pre-roll,18.68,USD,2024-04-03
556,30091,Mid-roll,27.28,USD,2024-09-08
557,43988,Pre-roll,35.99,USD,2024-12-11
558,49153,Pre-roll,8.07,USD,2023-05-28
559,25793,Mid-roll,40.21,USD,2023-06-04
560,6088,Overlay,42.22,USD,2023-02-07
561,31707,Display,17.4,USD,2023-12-01
562,40133,Display,31.44,USD,2024-04-14
563,9349,Mid-roll,22.35,USD,2023-10-23
564,48776,Display,14.52,USD,2024-02-06
565,45996,Pre-roll,19.67,USD,2024-03-10
566,42645,Pre-roll,36.29,USD,2023-02-22
567,47589,Mid-roll,17.1,USD,2023-06-06
568,47003,Mid-roll,24.91,USD,2023-03-15
569,31345,Mid-roll,40.35,USD,2024-10-15
